user,uid,sum,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
56547,9494110,101,2,11,36,3,0,5,3,5,13,15,3,5
bulba,4860414,100,5,0,1,2,0,0,4,3,28,18,21,18
Ned_Stark,8988225,100,56,0,0,22,20,2,0,0,0,0,0,0
mapgdb,1193559,98,0,0,1,0,65,30,0,0,2,0,0,0
kartonage,1497225,96,72,2,4,4,2,2,0,2,1,6,1,0
a_simonofff,16060511,95,0,0,0,0,0,0,0,0,77,14,0,4
leshii,65745,91,0,0,2,0,0,0,0,40,34,15,0,0
al_by,3701520,90,7,18,15,4,1,0,1,1,41,0,0,2
ViVlad,4981918,89,9,16,10,18,16,4,3,2,0,4,7,0
Bar5,7670821,88,9,2,0,0,0,2,15,13,18,8,6,15
pooh79,10299949,88,5,1,3,0,1,1,0,2,1,20,39,15
metalizer,14115838,88,40,32,8,0,0,0,0,0,8,0,0,0
ALu68,71862,87,12,8,1,2,29,12,20,0,1,1,1,0
user_13896983,13896983,82,61,20,0,0,0,1,0,0,0,0,0,0
Автосеть,10405396,82,0,3,0,0,0,47,0,0,0,0,25,7
yar3356,569385,82,0,0,0,0,30,28,14,4,0,0,6,0
Yaroha,2050363,76,25,41,0,0,10,0,0,0,0,0,0,0
granthin,9176866,76,0,11,6,0,0,0,0,0,18,12,5,24
AndreiDrang,8548048,74,30,1,0,0,0,0,23,0,15,0,5,0
ratrun,474183,72,7,10,4,7,1,9,6,7,2,6,7,6
ierihon,3558515,71,0,0,0,0,0,0,21,0,49,1,0,0
shrddr,1396577,69,0,0,1,1,3,2,0,0,10,49,2,1
yury_kontur,14552655,69,0,0,0,46,15,3,0,2,0,0,1,2
user_5359,5359,67,5,9,8,11,3,6,7,9,7,1,1,0
DAPDarkneSS,11705186,64,2,0,1,2,0,0,0,0,5,19,15,20
victogan,5188698,64,5,3,2,1,4,7,3,14,8,4,2,11
IvanPetranevich,9623105,63,0,0,35,0,6,0,1,1,0,19,1,0
Korney San,3085496,63,0,0,0,14,3,2,6,6,26,1,2,3
dunkaist,386077,63,0,0,0,5,1,0,1,1,4,1,29,21
Володя Сальник,4292929,62,0,7,6,2,1,0,0,26,10,5,2,3
dzhorzhmiloslavsky,13172676,61,3,0,30,2,1,14,0,0,2,1,7,1
user_14453424,14453424,61,0,0,14,46,1,0,0,0,0,0,0,0
negativedesire,717418,60,0,0,3,4,0,2,2,18,2,22,7,0
FantomEnterteinment,3769018,60,0,0,0,0,0,17,0,38,0,0,5,0
Sema_B,5495072,59,17,9,1,13,3,6,1,4,1,3,1,0
Денис Хаткевич,2986307,58,0,1,0,3,0,0,0,0,0,24,29,1
Virkom,13909622,54,20,1,0,0,0,1,0,0,30,1,1,0
